GRUPO,SUB GRUPO,CÓDIGO,NOME,MEDIDA,PREÇO ,RENDIMENTO
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Caldo Vegetal,LITRO,"R$0,80",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Cannoli De Ricota,UNID,"R$9,14",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Carpaccio,UNID,"R$12,36",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Cesta De Pão,UNID,"R$10,08",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Cheesecake,KG,"R$12,25",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Creme Brule,UNID,"R$6,92",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Creme De Ricota,KG,"R$27,38",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Farofa De Pao,KG,"R$13,87",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Geleia De Frutas Vermelhas,UNID,"R$11,77",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Gratinado,UNID,"R$14,75",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Lasanha Ao Pesto,UNID,"R$26,63",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Base Brandade,KG,"R$95,86",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Maionese,KG,"R$22,96",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Milanesa,UNID,"R$26,25",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Mix Alface,KG,"R$17,93",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Mix Queijo,KG,"R$152,15",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Molho Cipriani,KG,"R$24,81",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Molho De Pera,KG,"R$34,01",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Molho Pera,KG,"R$34,34",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Molho Pomodoro,KG,"R$39,52",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Molho Salada,KG,"R$63,25",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Molho Tartar,kg,"R$2,24",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Mouse Chocolate Calebout,UNID,"R$15,54",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Mousse Branca,UNID,"R$87,52",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Mousse Chocolate Branco,KG,"R$11,18",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Panacota Calda De Tangerina,UNID,"R$7,71",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Pão Brusqueta,kg,,1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Praline,KG,"R$31,08",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Pure De Batata,KG,"R$13,49",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Rosbife,UNID,"R$125,78",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Salada De Rucula,KG,"R$2,79",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Tagliolini Gratinati,UNID,"R$8,45",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Tartar,UNID,"R$14,20",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Tiramisu,UNID,"R$21,75",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Torrada,KG,"R$0,89",1
ALIMENTOS,MANIPULADOS/PRODUZIDOS,SUB RECEITA,Vinagrete Atum,kg,"R$11,68",1
ALIMENTOS,MASSAS,1003002500,Bottoni Mozzarella - Kg,KG,"R$141,90",1
ALIMENTOS,MASSAS,1003000200,Massa Croquetta,KG,"R$107,80",1
ALIMENTOS,MASSAS,1003000500,Massa Fusilli,KG,"R$29,52",1
ALIMENTOS,MASSAS,1003000600,Massa Linguine,KG,"R$28,89",1
ALIMENTOS,MASSAS,1003000700,Massa Maltagliata,KG,"R$76,67",1
ALIMENTOS,MASSAS,1003000800,Massa Orecchiette,KG,"R$28,89",1
ALIMENTOS,MASSAS,1003002002,Capeletti Di Gamberi E Porco Nero - Kg,KG,"R$152,00",1
ALIMENTOS,MASSAS,1003000900,Massa Paccheri,KG,"R$37,80",1
ALIMENTOS,MASSAS,1003001200,Massa Penne,KG,"R$28,89",1
ALIMENTOS,SECOS,1005518100,Tortelone De Abobora E Taleggio - Un,KG,"R$191,00",1
ALIMENTOS,MASSAS,1003001400,Massa Rigatoni,KG,"R$28,89",1
ALIMENTOS,MASSAS,1003001500,Massa Spaghetti,KG,"R$28,89",1
ALIMENTOS,MOLHOS,1003500000,Creme Caccio E Pepe,UNID,"R$0,10",1
ALIMENTOS,MOLHOS,1003500200,Creme Funghi Trufado - Un,UNID,"R$0,10",1
ALIMENTOS,MOLHOS,1003500100,Creme Funghi,UNID,"R$4,20",1
ALIMENTOS,MOLHOS,1003500400,Molho Amatriciana Bianca,KG,"R$98,85",1
ALIMENTOS,MOLHOS,1003500500,Molho Bolognesa,KG,"R$133,01",1
ALIMENTOS,MOLHOS,1003500600,Molho Cacio Peppe,KG,"R$147,14",1
ALIMENTOS,MOLHOS,1003500700,Molho De Camarao,KG,"R$107,65",1
ALIMENTOS,MOLHOS,1003500800,Molho De Cordeiro - Un,KG,"R$0,10",1
ALIMENTOS,MOLHOS,1003501000,Molho De Tomate Kg,KG,"R$6,41",1
ALIMENTOS,MOLHOS,1003501300,Molho Genovese,KG,"R$57,45",1
ALIMENTOS,MOLHOS,1003501400,Molho Giulienne,KG,"R$75,72",1
ALIMENTOS,MOLHOS,1003501500,Molho Ingles - L,LITRO,"R$7,43",1
ALIMENTOS,MOLHOS,1003501600,Molho Ingles Lea Perris,LITRO,"R$833,33",1
ALIMENTOS,MOLHOS,1003501700,Molho Oleo Verde,KG,"R$110,00",1
ALIMENTOS,MOLHOS,1003501800,Molho Pesto,KG,"R$272,56",1
ALIMENTOS,MOLHOS,1003502000,Molho Ragu De Linguica,KG,"R$108,91",1
ALIMENTOS,MOLHOS,1003502100,Molho Shoyu Sakura Tradicional - Un,UNID,"R$12,05",1
ALIMENTOS,MOLHOS,1003502200,Molho Tonnato,KG,"R$99,50",1
ALIMENTOS,MOLHOS,1003502400,Papa Pomodoro,KG,"R$107,41",1
ALIMENTOS,MOLHOS,1003502800,Pesto De Folhas,KG,"R$87,38",1
ALIMENTOS,PAES,1004500300,F Rosca Pao Italiano - Kg,KG,"R$19,28",1
ALIMENTOS,PAES,1004500800,Pão Campagne,UNID,"R$29,25",1
ALIMENTOS,PAES,1004500600,Pao Italiano Pre,KG,"R$27,27",1
ALIMENTOS,PROTEINAS,1005000400,Alcatra Com Maminha - Kg,KG,"R$33,99",1
ALIMENTOS,PROTEINAS,1005000801,Ancho - Kg,KG,"R$149,90",1
ALIMENTOS,PROTEINAS,1005000900,Anchova - Kg,KG,"R$297,23",1
ALIMENTOS,PROTEINAS,1005001100,Atum File Sujo,KG,"R$93,89",1
ALIMENTOS,PROTEINAS,1005001100,Atum File Limpo,KG,"R$93,89",1
ALIMENTOS,PROTEINAS,1005000000,Bisteca Suina Congelada - Kg,KG,"R$16,99",1
ALIMENTOS,PROTEINAS,1005002600,Camarão Sujo,KG,"R$69,90",1
ALIMENTOS,PROTEINAS,1005002600,Camarão Limpo,KG,"R$69,90","1,5"
ALIMENTOS,PROTEINAS,1005003200,Carne Moida - Kg,KG,"R$22,99",1
ALIMENTOS,PROTEINAS,1005003500,Caviar De Mujol,KG,"R$540,00",1
ALIMENTOS,PROTEINAS,1005004000,Contra File - Kg,KG,"R$39,90",1
ALIMENTOS,PROTEINAS,1005004700,Costela Bovina - Kg,KG,"R$22,99",1
ALIMENTOS,PROTEINAS,1005004700,Costela Bovina - Kg,KG,"R$24,00",1
ALIMENTOS,PROTEINAS,1005004800,Costela Suina - Kg,KG,"R$27,69",1
ALIMENTOS,PROTEINAS,1005005300,Coxa E Sobrecoxa Frango - Kg,KG,"R$13,73",1
ALIMENTOS,PROTEINAS,1005005400,Coxao Duro - Kg,KG,"R$31,99",1
ALIMENTOS,PROTEINAS,1005005500,Coxao Mole - Kg,KG,"R$34,99",1
ALIMENTOS,PROTEINAS,1005007200,File Mignon Vpj,KG,"R$153,88",1
ALIMENTOS,PROTEINAS,1005007300,File Mignon Ws,KG,"R$115,14",1
ALIMENTOS,PROTEINAS,1005007500,File Peito S/Sassami - Kg,KG,,1
ALIMENTOS,PROTEINAS,1005007700,Filet De Pangasius - Kg,KG,"R$18,99",1
ALIMENTOS,PROTEINAS,1005007900,Filezinho De Frango Empanado - Kg,KG,,1
ALIMENTOS,PROTEINAS,1005008400,Frango A Passarinho - Kg,KG,"R$8,20",1
ALIMENTOS,PROTEINAS,1005008500,Frango Inteiro - Kg,KG,"R$8,99",1
ALIMENTOS,PROTEINAS,1005009500,Hamburguer Bovino (50 Gr) - Kg,KG,"R$1,06",1
ALIMENTOS,PROTEINAS,1005021700,Jerked Beef Cambui Traseiro - Kg,KG,"R$45,03",1
ALIMENTOS,PROTEINAS,1005009900,Kit Feijoada - Kg,KG,"R$21,42",1
ALIMENTOS,PROTEINAS,1005009900,Kit Feijoada - Kg,KG,"R$19,41",1
ALIMENTOS,PROTEINAS,1005010000,Lagarto - Kg,KG,"R$32,50",1
ALIMENTOS,PROTEINAS,1005010300,Linguica Calabresa - Kg,KG,"R$20,90",1
ALIMENTOS,PROTEINAS,1005011000,Linguica Toscana - Kg,KG,"R$15,99",1
ALIMENTOS,PROTEINAS,1005011000,Linguica Toscana - Kg,KG,"R$16,09",1
ALIMENTOS,PROTEINAS,1005011600,Maiale Canastra Secreto Limpo,KG,"R$119,00","1,46"
ALIMENTOS,PROTEINAS,1005011600,Maiale Canastra Secreto Sujo,KG,"R$119,00",1
ALIMENTOS,PROTEINAS,1005012900,Ovas De Botarga,KG,"R$583,00",1
ALIMENTOS,PROTEINAS,1005013500,Peito De Frango - Kg,KG,"R$10,50",1
ALIMENTOS,PROTEINAS,1005014800,Prejereba Limpo,KG,"R$113,47",1
ALIMENTOS,PROTEINAS,1005014800,Prejereba Sujo,KG,"R$113,47",1
ALIMENTOS,PROTEINAS,1005015200,Presunto De Parma Sujo,KG,"R$242,00",1
ALIMENTOS,PROTEINAS,1005015200,Presunto De Parma Limpo,KG,"R$242,00","1,37"
ALIMENTOS,PROTEINAS,1005020700,Prosciutto Cotto - Kg,KG,"R$112,00",1
ALIMENTOS,PROTEINAS,1005020700,Prosciutto Cotto - Kg,KG,"R$112,00","1,368"
ALIMENTOS,PROTEINAS,1005015600,Rabo Bovino - Kg,KG,"R$28,99",1
ALIMENTOS,PROTEINAS,1005015900,Ragu De Vitelo,KG,"R$137,23",1
ALIMENTOS,PROTEINAS,1005016800,Sobrecoxa Lar Cong Ind - Kg,KG,"R$9,99",1
ALIMENTOS,PROTEINAS,1005016800,Sobrecoxa Lar Cong Ind - Kg,KG,"R$10,28",1
ALIMENTOS,SECOS,1005500400,Aceto Balsâmico De Nigris 25%,LITRO,"R$33,00",1
ALIMENTOS,SECOS,1005521700,Acucar Cristal Sache - Un,UNID,"R$0,13",1
ALIMENTOS,SECOS,1005522100,Acucar Glacucar Refinado,KG,"R$7,98",1
ALIMENTOS,SECOS,1005501100,Acucar Mascavo Sache - Un,UNID,"R$0,20",1
ALIMENTOS,SECOS,1005501200,Acucar Refinado,KG,"R$4,17",1
ALIMENTOS,SECOS,1005501500,Adocante Sache - Un,UNID,"R$0,05",1
ALIMENTOS,SECOS,1005501700,Agnollotti Di Agnelo - Un,KG,"R$195,30",1
ALIMENTOS,SECOS,1005501900,Alcaparra Fechado,KG,"R$63,45",1
ALIMENTOS,SECOS,1005501900,Alcaparra Aberto,KG,"R$63,45","1,64"
ALIMENTOS,SECOS,1005502000,Alcaparrones Fechado,KG,"R$141,51",1
ALIMENTOS,SECOS,1005502000,Alcaparrones Aberto,KG,"R$141,51","1,77"
ALIMENTOS,SECOS,1005502400,Amendoas Fatiadas S/ Pele,KG,"R$105,00",1
ALIMENTOS,SECOS,1005502900,Arroz Branco,KG,"R$5,98",1
ALIMENTOS,SECOS,1005503500,Azeite Extra Virgem,LITRO,"R$58,80",1
ALIMENTOS,LATICINIOS,1002500300,Doce De Leite - Kg,kg,"R$29,32",1
ALIMENTOS,SECOS,1005504200,Baunilha Granel - Kg,KG,"R$3.000,00",1
ALIMENTOS,SECOS,1005504600,Biscoito Champanhe,KG,"R$45,75",1
ALIMENTOS,SECOS,1005504700,Cacau Em Pó,KG,"R$91,26",1
ALIMENTOS,SECOS,1005504800,Cafe Moido,KG,"R$67,98",1
ALIMENTOS,SECOS,1005505501,Cappellacci Ricotta Ed Erbe,KG,"R$112,14",1
ALIMENTOS,SECOS,1005505700,Carlina,KG,"R$286,90",1
ALIMENTOS,SECOS,1005505700,Carlina,KG,"R$286,90",10
ALIMENTOS,SECOS,1005524300,Chimichurri - Kg,KG,"R$67,50",1
ALIMENTOS,SECOS,1005506400,Colorau - Kg,KG,"R$15,25",1
ALIMENTOS,SECOS,1005507300,Essencia De Baunilha,LITRO,"R$30,38",1
ALIMENTOS,SECOS,1005507900,Farinha De Trigo Kg,KG,"R$4,07",1
ALIMENTOS,SECOS,1005508200,Farinha Mandioca - Kg,KG,"R$10,20",1
ALIMENTOS,SECOS,1005508900,Feijao Carioca,KG,"R$7,13",1
ALIMENTOS,SECOS,1005509100,Feijao Preto - Kg,KG,"R$5,90",1
ALIMENTOS,SECOS,1005509600,Flor De Sal,KG,"R$91,60",1
ALIMENTOS,SECOS,1005509700,Folhas De Lasanha,KG,"R$76,67",1
ALIMENTOS,SECOS,1005510000,Gelatina Em Folha,KG,"R$949,00",1
ALIMENTOS,SECOS,1005510200,Gema De Ovo Pasteurizada,KG,"R$52,31",1
ALIMENTOS,SECOS,1005510700,Gnocchi,KG,"R$78,28",1
ALIMENTOS,SECOS,1005511100,Hondashi,KG,"R$99,92",1
ALIMENTOS,SECOS,1005511300,Ketchup - Kg,KG,,1
ALIMENTOS,SECOS,1005511500,Leite De Coco Lt - L,LITRO,"R$29,90",1
ALIMENTOS,SECOS,1005511600,Lichia Em Calda - Kg,KG,"R$213,04",1
ALIMENTOS,SECOS,1005509400,Macarrão Fettuccine,KG,"R$76,67",1
ALIMENTOS,SECOS,1005511900,Maionese - Kg,KG,"R$13,81",1
ALIMENTOS,DOCES,1000502000,Mel Silvestre - Kg,KG,"R$51,40",1
ALIMENTOS,SECOS,1005521600,Molho Barbecue - Kg,KG,"R$8,36",1
ALIMENTOS,SECOS,1005512700,Mostarda - Kg,KG,,1
ALIMENTOS,SECOS,1005512800,Mostarda Dijon,KG,"R$66,79",1
ALIMENTOS,SECOS,1005513000,Noz Moscada - Kg,LITRO,"R$195,00",1
ALIMENTOS,SECOS,1005513500,Oleo De Girassol,LITRO,"R$14,94",1
ALIMENTOS,SECOS,1005513800,Oleo Soja,LITRO,"R$11,22",1
ALIMENTOS,SECOS,1005514200,Palmito Pupunha,KG,"R$18,20",1
ALIMENTOS,SECOS,1005514900,Pimenta Do Reino Em Grao,KG,"R$105,00",1
ALIMENTOS,SECOS,1005515600,Pinoli,KG,"R$680,00",1
ALIMENTOS,SECOS,1005516200,Sal Grosso,KG,"R$4,10",1
ALIMENTOS,SECOS,1005516400,Sal Refinado,KG,"R$2,10",1
ALIMENTOS,SECOS,1005516600,Salsa Trufada,KG,"R$1.000,00",1
ALIMENTOS,SECOS,1005517000,Suco Em Po - Kg,KG,"R$10,17",1
ALIMENTOS,SECOS,1005517100,Tagliolini,KG,"R$76,67",1
ALIMENTOS,SECOS,1005519500,Tempero Baiano - Kg,KG,,1
ALIMENTOS,SECOS,1005517800,Tomate Pelado,KG,"R$15,40",1
ALIMENTOS,SECOS,1005518001,Torteline De Ossobuco,KG,"R$151,92",1
ALIMENTOS,SECOS,1005523100,Trufa Negra Verao - Kg,KG,"R$3.027,94",1
ALIMENTOS,SECOS,1005518300,Trufa Negra,KG,"R$9.200,00",1
ALIMENTOS,SOBREMESAS,1006000100,Bolo Cipriani G,FATIA,"R$233,00","0,1"
ALIMENTOS,SOBREMESAS,1006000200,Bolo De Chocolate Gato - Un,UNID,"R$686,30",1
ALIMENTOS,USO E CONSUMO,1006500000,Cabo De Aluminio 140Cm - Un,UNID,"R$37,50",1
MATERIAL DE APOIO,EMBALAGEM,2000100000,Sacola Delivery 31X33X19 - Un,UNID,"R$1,85",1
ALIMENTOS,PROTEINAS,,Brandade De Bacalhau,UNID,"R$116,73",1
ALIMENTOS,MASSAS,,Massa Canoli,KG,"R$ 97,97",1
BEBIDAS ALCOOLICAS,CERVEJAS,1050001500,Corona,UNID,"R$8,28",1
BEBIDAS ALCOOLICAS,CERVEJAS,1050001600,Corona Zero,UNID,"R$6,36",1
BEBIDAS ALCOOLICAS,CERVEJAS,1050002300,Stella Artois Pure Gold,UNID,"R$7,75",1
BEBIDAS ALCOOLICAS,DESTILADOS,1050528900,Absinto,LITRO,"R$83,36",1
BEBIDAS ALCOOLICAS,DESTILADOS,1050500500,Amaro Averna,LITRO,"R$120,77",1
BEBIDAS ALCOOLICAS,DESTILADOS,1050530600,Amaro Lucano,LITRO,"R$122,50",1
BEBIDAS ALCOOLICAS,DESTILADOS,1050500600,Amaro Ramazzotti Aperitivo,LITRO,"R$84,90",1
BEBIDAS ALCOOLICAS,DESTILADOS,1050512300,Angostura Caribean,LITRO,"R$467,23",1
BEBIDAS ALCOOLICAS,DESTILADOS,1050525800,Aperitivo Brasilberg,LITRO,"R$45,11",1
BEBIDAS ALCOOLICAS,DESTILADOS,1050500800,Aperitivo Cynar 900 Ml,LITRO,"R$21,33",1
BEBIDAS ALCOOLICAS,DESTILADOS,1050501000,Aperitivo Lillet,LITRO,"R$93,20",1
BEBIDAS ALCOOLICAS,DESTILADOS,1050501200,Aperol,LITRO,"R$50,02",1
BEBIDAS ALCOOLICAS,DESTILADOS,1050529000,Awamori,LITRO,"R$240,00",1
BEBIDAS ALCOOLICAS,DESTILADOS,1050512900,Bacardi Reserva Limitada,LITRO,"R$677,90",1
BEBIDAS ALCOOLICAS,DESTILADOS,1050501500,Bergamoncello,LITRO,"R$85,71",1
BEBIDAS ALCOOLICAS,DESTILADOS,1050501600,Bitter Angostura Aromatic,LITRO,"R$797,22",1
BEBIDAS ALCOOLICAS,DESTILADOS,1050500700,Bitter Angostura Cocoa,LITRO,"R$1.300,00",1
BEBIDAS ALCOOLICAS,DESTILADOS,1050505600,Gin The Botanist - L,LITRO,"R$270,00",1
BEBIDAS ALCOOLICAS,DESTILADOS,1050504900,Gin Martini Miller - L,LITRO,"R$357,14",1
BEBIDAS ALCOOLICAS,DESTILADOS,1050501800,Bitter Angostura Orange,LITRO,"R$962,90",1
BEBIDAS ALCOOLICAS,DESTILADOS,1050501900,Bitter Peychauds,LITRO,"R$588,61",1
BEBIDAS ALCOOLICAS,DESTILADOS,1050502000,Bourbon Woodford Reserve Gfa,LITRO,"R$209,33",1
